id,title,sku,slug,hsnCode,gstRate,category,subcategory
prd_81e8fb5c-acf7-4831-8723-276f466f6e7e,(Pack of 10) Red Color Silicone Wristband RFID  Tag For Access Control Swimming Pool And Marathon 13.56MHZ ISO14443A MiFare 1K    Pack of 10,JNX-000262,pack-of-10-red-color-silicone-wristband-rfid-tag-for-access-control-swimming-pool-and-marathon-1356mhz-iso14443a-mifare-1k-pack-of-10,8531,18,Access Control,
prd_278f4759-a67d-4cc0-bdde-cfdb96ee317c,110dB Mini Strobe Siren Durable Home Security Alarm System (Blue) 12V DC,JNX-000308,110db-mini-strobe-siren-durable-home-security-alarm-system-blue-12v-dc,8531,18,Security Alarm System,
prd_bea7c430-f78f-4793-868f-9e9e476c096f,12” CCTV Camera Wall Mounting Bracket Stand | Heavy Duty Metal for Bullet & Box Camera | 90° Viewing Area | Indoor and Outdoor Use | White | 12 inch,JNX-000057,12-cctv-camera-wall-mounting-bracket-stand-or-heavy-duty-metal-for-bullet-and-box-camera-or-90-viewing-area-or-indoor-and-outdoor-use-or-white-or-12-inch,8529,18,Surveilliance,
prd_ec6b2f1a-dd65-488b-89c3-f80fe13fb7a0,125Khz RFID Card - Pack of 50 nos.,JNX-000214,125khz-rfid-card-pack-of-50-nos,8531,18,Access Control,
prd_028487b7-29ea-4017-ae03-ae8cc4f3f7e8,12MP pen camera,JNX-000162,12mp-pen-camera,8529,18,Surveilliance,
prd_d5223401-7cd2-4912-a1d8-05c67f632b7c,12V 10A SMPS 120W AC-DC industrial Metal Power Supply,JNX-000315,12v-10a-smps-120w-ac-dc-industrial-metal-power-supply,85176290,18,Power Supply,
prd_644c97bc-a696-4de6-a223-f44e7c407a7a,12V 2Amp Adaptor for DVR NVR,JNX-000328,12v-2amp-adaptor-for-dvr-nvr,85176290,18,Power Supply,
prd_e0beb9b5-ca1a-42b7-b435-c3d3781da4f8,12V 5A SMPS Industrial – SL – 60W,JNX-000314,12v-5a-smps-industrial-sl-60w,85176290,18,Power Supply,
prd_c7186ce4-8c5d-43a5-866e-699078d93546,12V DC power supply SMPS based for 4ch CCTV Camera,JNX-000125,12v-dc-power-supply-smps-based-for-4ch-cctv-camera,8529,18,Surveilliance,
prd_bda75a81-db29-4763-b648-2008441b98b1,12V DC power supply SMPS based for 8ch CCTV Camera,JNX-000126,12v-dc-power-supply-smps-based-for-8ch-cctv-camera,8529,18,Surveilliance,
prd_cb58b8c5-e340-4e34-ac44-289ac3e9ffde,12V to 220V Inverter - 100W,JNX-000251,12v-to-220v-inverter-100w,85176290,18,Power Supply,
prd_8998541b-709c-469a-a9e5-a124a61bc1a1,13.56Mhz 1K IC Tag Token Access Control Card Keyfob Keychain I Set of 10,JNX-000236,1356mhz-1k-ic-tag-token-access-control-card-keyfob-keychain-i-set-of-10,8531,18,Access Control,
prd_6c2aa1b5-9809-406b-87d2-e169020dfc02,16CH NVR 8MP 4K,JNX-000141,16ch-nvr-8mp-4k,85176290,18,Power Supply,
prd_72e562a1-e39c-4df2-a8d1-7a93e6b5fb7b,1n4742a zener diode 12V 1W - Pack of 100 nos,JNX-000168,1n4742a-zener-diode-12v-1w-pack-of-100-nos,8417,18,Robotics,
prd_b6f29017-400a-4c5b-bbee-7d46f9a0ab68,20 Floors Elevator Controller For Elevator or 12V Cabinet Lock control card for 20 Cabinets for lift,JNX-000338,20-floors-elevator-controller-for-elevator-or-12v-cabinet-lock-control-card-for-20-cabinets-for-lift,8531,18,Access Control,
prd_96e3f05c-4d17-4eb5-9778-894b87203c3a,24V 12.5A SMPS 300W Rated AC-DC industrial Metal Power Supply for BLDC boom barrier,JNX-000317,24v-125a-smps-300w-rated-ac-dc-industrial-metal-power-supply-for-bldc-boom-barrier,8529,18,Parking Management,
prd_6c640883-ab56-4c48-b366-96f6c82ec3e1,24V 15Amp SMPS 360W Rated AC-DC industrial Metal Power Supply for BLDC boom barrier - 24V 15A,JNX-000318,24v-15amp-smps-360w-rated-ac-dc-industrial-metal-power-supply-for-bldc-boom-barrier-24v-15a,8529,18,Parking Management,
prd_a9c04b97-a68a-49a8-ba07-14e523645479,"3D face detection Tuya wifi mobile app Smart Glass Door Entry Lock 2K HD Camera Doorbell Fingerprint Password, 3D Face Recognition Fingerprint Lock Intelligent Office Password digital Lock Password Fingerprint Lock Keys Locks  J828TW",JNX-000283,3d-face-detection-tuya-wifi-mobile-app-smart-glass-door-entry-lock-2k-hd-camera-doorbell-fingerprint-password-3d-face-recognition-fingerprint-lock-intelligent-office-password-digital-lock-password-fingerprint-lock-keys-locks-j828tw,8531,18,Access Control,
prd_8dc748c2-126e-41e2-a01d-9ce07c677de3,"3MP Smart Wi-Fi Dome Camera with 4mm Lens, Color Night vision , Cloud storage, 256GB SD card supported ,Two way audio intercome",JNX-000323,3mp-smart-wi-fi-dome-camera-with-4mm-lens-color-night-vision-cloud-storage-256gb-sd-card-supported-two-way-audio-intercome,8529,18,Surveilliance,
prd_401d91e2-7f5d-46a0-b666-fe14cd9905f6,4 gang wifi smart switch module - tuya smart life 4 Channel Wifi Switch Module 4ch module,JNX-000180,4-gang-wifi-smart-switch-module-tuya-smart-life-4-channel-wifi-switch-module-4ch-module,8529,18,Smart Home Automation,
prd_d2956b8f-01cd-4ee1-bc22-834f10727dcd,"433MHz  RF Mini Relay Wireless Remote Control Switch Receiver 1CH, and remote for access control , siren, door lock,",JNX-000256,433mhz-rf-mini-relay-wireless-remote-control-switch-receiver-1ch-and-remote-for-access-control-siren-door-lock,8531,18,Access Control,
prd_992163a6-0c52-4b32-9dbb-47ac5aa14e43,433Mhz 12V DC Relay  with 1 remote for electronic door lock EM lock sliding gate motor access control,JNX-000255,433mhz-12v-dc-relay-with-1-remote-for-electronic-door-lock-em-lock-sliding-gate-motor-access-control,8531,18,Access Control,
prd_f1d113ad-1bbd-49c8-a2ee-91dc97b35f33,4ch XVR,JNX-000114,4ch-xvr,8529,18,Surveilliance,
prd_6f661145-4335-4c6c-ba33-a1c26aab8f16,4G Router 4G LTE CPE Wi-Fi Router for Home & Personal Computer indoor use,JNX-000274,4g-router-4g-lte-cpe-wi-fi-router-for-home-and-personal-computer-indoor-use,8529,18,4G Router,
prd_43a7bbc2-42ac-4477-993e-2a015edcc940,4G sim card camera - v380  3MP PTZ,JNX-000178,4g-sim-card-camera-v380-3mp-ptz,8529,18,Surveilliance,
prd_0d252e7c-24c7-444b-9eac-21ccfbffed32,4G Sim Card outdoor rotating 360 degree camera - Mobile app IP pro  3MP,JNX-000321,4g-sim-card-outdoor-rotating-360-degree-camera-mobile-app-ip-pro-3mp,8529,18,Surveilliance,
prd_b9833ce7-26a6-4e69-9ece-a74dcdc37f41,4G Sim Card outdoor rotating 360 degree Double lens  10X Zoom camera - Mobile app IP pro 4MP 10X zoom,JNX-000320,4g-sim-card-outdoor-rotating-360-degree-double-lens-10x-zoom-camera-mobile-app-ip-pro-4mp-10x-zoom,8529,18,Surveilliance,
prd_2abd6d30-a522-4e11-9508-bb00571f948f,4G Sim Card outdoor rotating 360 degree Double lens linkage camera - Mobile app IP pro 2MP + 2MP,JNX-000319,4g-sim-card-outdoor-rotating-360-degree-double-lens-linkage-camera-mobile-app-ip-pro-2mp-2mp,8529,18,Surveilliance,
prd_22159dc3-6eab-4205-a5ca-652d919031f7,4G Solar tripple lens OKAM pro camera,JNX-000373,4g-solar-tripple-lens-okam-pro-camera,8529,18,Surveilliance,
prd_7313f7f4-e3a4-453d-a909-e6549a8834b1,"4MP 4G Sim Dual Lens Solar 360 degree  Camera with Live View, Night Vision & Wide Angle Motion Tracking",JNX-000297,4mp-4g-sim-dual-lens-solar-360-degree-camera-with-live-view-night-vision-and-wide-angle-motion-tracking,8529,18,Surveilliance,
prd_10a52020-7b9d-4541-8017-ae812bcf5d1c,4MP IP License Plate Recognition ANPR Bullet Network Camera Vehicle number plate catching camera,JNX-000369,4mp-ip-license-plate-recognition-anpr-bullet-network-camera-vehicle-number-plate-catching-camera,8529,18,Surveilliance,
